[2024-01-02T19:46:36.935+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.942+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.947+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.952+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.958+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.963+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.969+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.974+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.979+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.985+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.991+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.996+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.002+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.007+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.012+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.018+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.024+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.030+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.036+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.041+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.046+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.051+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.057+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.062+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.068+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.073+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.079+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.084+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.090+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.095+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.102+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.107+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.112+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.119+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.124+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.129+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.135+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.140+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.145+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.151+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.157+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.163+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.169+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.176+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.183+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.189+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.195+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.200+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.206+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.212+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.218+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.224+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.229+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.235+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.240+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.246+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.252+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.258+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.264+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.270+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.276+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.281+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
